han,name,hex,dec,note
賬,3930,8CEC,36076,
賭,3931,8CED,36077,
賢,3932,8CE2,36066,
賣,3933,8CE3,36067,
賞,3934,8CDE,36062,
賜,3935,8CDC,36060,
質,3936,8CEA,36074,
賴,3937,8CF4,36084,
賺,3938,8CFA,36090,
賽,3939,8CFD,36093,
購,3940,8CFC,36092,
贅,3941,8D05,36101,
贈,3942,8D08,36104,
贋,3943,8D0B,36107,
贊,3944,8D0A,36106,
贏,3945,8D0F,36111,
贍,3946,8D0D,36109,
贓,3947,8D13,36115,
贖,3948,8D16,36118,
贛,3949,8D1B,36123,
赤,3950,8D64,36196,
赧,3951,8D67,36199,
赦,3952,8D66,36198,
赫,3953,8D6B,36203,
赭,3954,8D6D,36205,
走,3955,8D70,36208,
赴,3956,8D74,36212,
赳,3957,8D73,36211,
起,3958,8D77,36215,
越,3959,8D8A,36234,
超,3960,8D85,36229,
趁,3961,8D81,36225,
趙,3962,8D99,36249,
趕,3963,8D95,36245,
趣,3964,8DA3,36259,
趟,3965,8D9F,36255,
趨,3966,8DA8,36264,
足,3967,8DB3,36275,
趴,3968,8DB4,36276,
趾,3969,8DBE,36286,
跎,3970,8DCE,36302,
距,3971,8DDD,36317,
跋,3972,8DCB,36299,
跚,3973,8DDA,36314,
跑,3974,8DD1,36305,
跌,3975,8DCC,36300,
跛,3976,8DDB,36315,
跆,3977,8DC6,36294,
跡,3978,8DE1,36321,⿰𧾷亦
迹,3978V,8FF9,36857,⿺辶亦
蹟,3978V2,8E5F,36447,⿰𧾷責
跟,3979,8DDF,36319,
跨,3980,8DE8,36328,
路,3981,8DEF,36335,
跳,3982,8DF3,36339,
跺,3983,8DFA,36346,
跪,3984,8DEA,36330,
跼,3985,8DFC,36348,
踫,3986,8E2B,36395,
踐,3987,8E10,36368,
踝,3988,8E1D,36381,
踢,3989,8E22,36386,
踏,3990,8E0F,36367,
踩,3991,8E29,36393,
踟,3992,8E1F,36383,
蹄,3993,8E44,36420,
踱,3994,8E31,36401,
踴,3995,8E34,36404,
蹂,3996,8E42,36418,
踹,3997,8E39,36409,
踵,3998,8E35,36405,
蹉,3999,8E49,36425,
蹋,4000,8E4B,36427,
蹈,4001,8E48,36424,
蹊,4002,8E4A,36426,
蹣,4003,8E63,36451,
蹦,4004,8E66,36454,
蹙,4005,8E59,36441,
蹤,4006,8E64,36452,⿰𧾷從
踪,4006V,8E2A,36394,⿰𧾷宗
蹲,4007,8E72,36466,
蹬,4008,8E6C,36460,
蹺,4009,8E7A,36474,
